id|name|author|price|category|length|description
1|Rich Dad Poor Dad|Robert T. Kiyosaki|9.99|Business & Money|336|While there is a milestone to honor — and a new section in the book on Why Milestones Are Important — maintaining the original content demonstrates that this book has genuinely weathered the test of time. The book's sidebars (which were updated for the 20th anniversary edition) have been updated again, but the core principles that parents and grandparents embraced 25 years ago are now being shared with new generations who have discovered that its timeless wisdom and no-nonsense lessons can be applied to anyone's life and their vision for a future that includes taking control of their finances.\n\nMilestones are celebrated by people from many cultures and regions. We use them to track time, track progress, reflect on lessons gained, and celebrate achievements... They provide purpose to our life's journey. They are a means for us to merge the past, present, and future... looking back at where we started, where we are now, and the hope of what the future can bring.\n\nSo much has changed in our world in the quarter century since Rich Dad Poor Dad was originally published - 25 years since April 8, 1997. But one thing has remained constant: the critical need of financial education. Whether we like it or not, money is still an important part of our lives, and technology has brought both speed and creativity to the realm of money. In an ever-changing environment, we can all grow smarter about money... and learn everything we can to ensure our future.
2|The Power of One More: The Ultimate Guide to Happiness and Success|Ed Mylett|17.62|Business & Money|272|Ed Mylett, a famous keynote speaker and performance specialist, draws on 30 years of experience as an entrepreneur and coach to top athletes, entertainers, and business leaders in The Power of One More to uncover effective tactics to help you live an outstanding "one more" life.\n\nIn The Power of One More, you'll:\n\n-Discover why you're closer to your aspirations and objectives than you believe, and how The Power of One More tactics can help you cross the finish line in whichever race you're running.\n-Learn the psychology and science of using The Power of One More in all aspects of your life to solve issues and achieve levels of achievement you never imagined imaginable.\n-Discover time-tested and one-of-a-kind answers to problems that can help you overcome the mental obstacles you've been facing for years.\n\nThe Power of One More is an invaluable roadmap to attaining and exceeding your personal and professional objectives by tapping into the superpowers and abilities you already have inside you. It is ideal for anybody who desires more joy, riches, or better relationships."
3|Stop Overthinking|Nick Trenton|13.99|Business & Money|186|The most common source of misery is overthinking. Don't get caught up in a never-ending mental cycle. Stay in the now and keep your attention off things that don't and never will.\n\Stop Overthinking is a book that knows where you've been, the grueling position you've placed yourself in, and how you become lost in the trap of worry and tension. Nick Trenton, acclaimed author, will guide you through the challenges with thorough and proven ways to help you rewire your brain, regulate your thoughts, and modify your mental habits. Furthermore, the book will teach you scientific methods for radically changing the way you think and feel about yourself by breaking the destructive thinking patterns.\n\nNick Trenton grew up on a farm in rural Illinois and is a true farm kid. Growing up, his dearest pal was his dachshund companion Leonard. Leonard, rest in peace. He eventually made it off the farm, earning a BS in Economics and an MA in Behavioral Psychology.\n\nHow to Recognize and Manage Your Negative Spiral Triggers -How to maintain a focus on relaxation and activity -Tried-and-true ways for overcoming stress attacks-Learn how to cleanse your thoughts and rediscover concentration\n\nThere will be no more self-deprecation. There will be no more restless evenings with rushing thoughts. Stop overthinking and achieve more, feel better, and realize your full potential. Finally, you'll be able to live in the present.
4|The 7 Habits of Highly Effective People|Stephen R. Covey|12.26|Business & Money|464|Millions of individuals have adopted the 7 Habits and incorporate them into their daily lives. Why? Because they are effective!\n\nThe wisdom of the 7 Habits will be renewed for a new generation of leaders with Sean Covey's added lessons on how the habits might be employed in our current world.\n\nThey include:\nHabit 1: Be Proactive\nHabit 2: Begin with the End in Mind\nHabit 3: Put First Things First\nHabit 4: Think Win/Win\nHabit 5: Seek First to Understand, Then to Be Understood\nHabit 6: Synergize\nHabit 7: Sharpen the Saw\n\nThis well-known classic offers a principle-centered approach to dealing with both personal and professional issues. Stephen R. Covey shows a step-by-step approach for living with justice, integrity, honesty, and human dignity—principles that give us the stability to adapt to change and the knowledge and capacity to capitalize on the possibilities that change provides.
5|Think and Grow Rich|Napoleon Hill|7.49|Business & Money|320|Think and Grow Rich has been referred to be the "Grandfather of All Motivational Literature." It was the first book to address the provocative question, "What makes a winner?" Napoleon Hill, the guy who asked and waited for the response, is now regarded as one of the world's greatest victors.\nThe most famous of all success gurus spent "a fortune and the best part of a lifetime of labor" developing the "Law of Success" theory that underpins his books and is so succinctly described in this one.\n\nHill uses anecdotes from Andrew Carnegie, Thomas Edison, Henry Ford, and other millionaires of his period to illustrate his concepts in the original Think and Grow Rich, published in 1937. Arthur R. Pell, Ph.D., a nationally known author, lecturer, and consultant in human resources management and an expert in applying Hill's thought, deftly interweaves anecdotes of how contemporary millionaires and billionaires, such as Bill Gates, Mary Kay Ash, Dave Thomas, and Sir John Templeton, attained their wealth in the updated version. To avoid stumbling barriers for a new generation of readers, outdated or esoteric vocabulary and examples are carefully revised.
6|Bofuri: I Don't Want to Get Hurt, so I'll Max Out My Defense - Vol. 6|Yuumikon|5.99|Light Novel|191|Between easily beating the fifth stratum's secret boss and keeping pace with the best players in the game, Maple continues to demonstrate exactly how broken she is. Unfortunately, things aren't going as smoothly for Sally because the sixth stratum's debut reveals a horror-themed level, meaning it's chock-full of ghosts, geists, and ghouls! Wanting to do something nice for her partner who's too terrified to even step onto the new map, Maple sets out to find presents in the haunted houses and cursed crypts, much to the horror of the admins...
7|In Another World With My Smartphone - Vol. 26|Patora Fuyuhara|4.99|Light Novel|390|With eight children in tow,Touya's got no shortage of distractions! But he has a kingdom to run, and he can't let familial fuss keep him away from his civic duties! As issues both domestic and international pile up, how will Touya cope with the burdens of rulership with nearly two handfuls of obstinate offspring to worry about? And what of the wicked devout, who continue their malicious machinations beneath the cover of night? How many new members have they rallied to their cause, and what might they finally unleash upon unsuspecting nations in the far west? Find out in another exciting tale of swords, sorcery, and flashback episodes!
8|Mushoku Tensei: Jobless Reincarnation - Vol. 18|Rifujin na Magonote|6.49|Light Novel|300|In the years since Ariel took the throne, Rudeus has been keeping busy carrying out missions for Orsted and even finding time to save an old friend from slave traders. Then a letter arrives from the Doldia Village, seeking his help with the Sacred Beast's shocking disappearance! Can Rudeus explain his unintended dognapping? Or is he about to have yet another diplomatic incident on his hands?
9|Rascal Does Not Dream of a Sister Venturing Out - Vol. 8|Hazime Kamosida|8.59|Light Novel|192|After a draining December, Sakuta is quickly nearing the end of his second year of high school. Since Mai is a third-year student, they don't have much time left together before graduation rolls around. Meanwhile, his sister, Kaede, is slowly but steadily venturing outdoors again. Just as she begins to find her footing, she announces her most ambitious goal yet—attending her brother's high school! Sakuta knows better than anyone how difficult this will be for Kaede, and he's ready to support her however he can. He's just not sure if that's what's best for her…or what she really wants…
10|Sword Art Online Progressive - Vol. 1|Reki Kawahara|9.99|Light Novel|299|There's no way to beat this game. The only difference is when and where you die..."\nOne month has passed since Akihiko Kayaba's deadly game began, and the body count continues to rise. Two thousand players are already dead.\n\nKirito and Asuna are two very different people, but they both desire to fight alone. Nonetheless, they find themselves drawn together to face challenges from both within and without. Given that the entire virtual world they now live in has been created as a deathtrap, the surviving players of Sword Art Online are starting to get desperate, and desperation makes them dangerous to loners like Kirito and Asuna. As it becomes clear that solitude equals suicide, will the two be able to overcome their differences to find the strength to believe in each other, and in so doing survive?
